n_eval,audit,W
1000,naive,4.06024932884066
1000,naive,3.0691927360889975
1000,naive,2.4432912724720777
1000,naive,1.3660809807200927
1000,naive,8.518911214981204
1000,naive,6.224496733795404
1000,naive,4.3671813473227274
1000,naive,9.991559659022567
1000,naive,1.0724642408086058
1000,naive,6.936543932718443
1000,naive,8.41886552209922
1000,naive,5.3437997655952065
1000,naive,2.2807002610343994
1000,naive,3.2987777923939445
1000,naive,14.717359841021445
1000,naive,9.411450509170352
1000,naive,3.4650611333592303
1000,naive,14.464751469028716
1000,naive,9.030146057096742
1000,naive,15.995406831629282
1000,naive,11.691210030265587
1000,naive,0.23207771121667342
1000,naive,5.997976090099566
1000,naive,1.998037086715148
1000,naive,2.182852206966475
1000,naive,2.5539118428832084
1000,naive,8.827602085117539
1000,naive,3.4515011406494867
1000,naive,6.280732986866948
1000,naive,35.595361164157666
1000,naive,10.695145131527921
1000,naive,2.329565301119221
1000,naive,13.784488255146522
1000,naive,10.148477142573107
1000,naive,5.141403158922995
1000,naive,0.7759239934520458
1000,naive,3.1839126823024277
1000,naive,1.7269535956681183
1000,naive,1.923341383842721
1000,naive,18.087503066992042
1000,xf,0.5969034344296015
1000,xf,4.261293790003151
1000,xf,1.5598390097171517
1000,xf,5.857601283313503
1000,xf,0.11854020530815093
1000,xf,2.2906919861960358
1000,xf,0.16018516397663904
1000,xf,3.5783728814143854
1000,xf,0.6080130839086829
1000,xf,0.13806083785281614
1000,xf,3.1243401879421273
1000,xf,1.029262914812704
1000,xf,2.319740136204727
1000,xf,0.20539973812689175
1000,xf,1.0000759897125922
1000,xf,0.3822596841572615
1000,xf,4.021986404673518
1000,xf,1.8610381886513152
1000,xf,0.6177689984745188
1000,xf,0.9697269084559872
1000,xf,0.44386032663209696
1000,xf,0.8720006363376749
1000,xf,1.939871918114441
1000,xf,0.285244605101014
1000,xf,1.0196182861019094
1000,xf,3.221658692454793
1000,xf,0.20050330788319226
1000,xf,5.770586812457003
1000,xf,2.5679961309365447
1000,xf,3.6067237280763083
1000,xf,3.063563733597012
1000,xf,0.01994356361157449
1000,xf,0.1743676735583817
1000,xf,0.6839463961029725
1000,xf,3.144967118480656
1000,xf,2.3773993275073466
1000,xf,0.4350345078359766
1000,xf,1.1693017129877141
1000,xf,2.658762665851457
1000,xf,2.1388003402686575
1000,xf,2.8972459789971117
1000,xf,7.5162153811876
1000,xf,0.26062985184834625
1000,xf,0.4163320174094412
1000,xf,1.6766012623280382
1000,xf,2.594236036830101
1000,xf,0.45610757617994485
1000,xf,0.20128161431297859
1000,xf,2.798803486132924
1000,xf,0.08955443931131535
1000,xf,1.4889686705079868
1000,xf,2.9256199092135193
1000,xf,2.642952233284178
1000,xf,1.1338233285633463
1000,xf,0.4750470993910958
1000,xf,3.231793524013746
1000,xf,2.2518899639480576
1000,xf,0.30271793108642076
1000,xf,2.3295183538256867
1000,xf,0.07186263469449408
1000,xf,0.19121739005111743
1000,xf,1.6655051907552003
1000,xf,8.002952203266231
1000,xf,2.452656898842321
1000,xf,0.8879591841996654
1000,xf,1.1592043361373017
1000,xf,0.6528043409403369
1000,xf,1.9560590097634782
1000,xf,1.6494825036384897
1000,xf,0.3115248457044383
1000,xf,2.401342732426934
1000,xf,2.8183616415674075
1000,xf,2.5909853452432268
1000,xf,3.1229953624895654
1000,xf,1.537649317902925
1000,xf,0.8206169706654967
1000,xf,0.16046771815882768
1000,xf,0.10578779841750945
1000,xf,0.486809809727464
1000,xf,0.2834467616995564
1000,xf,2.399471176357131
1000,xf,6.109904843425545
1000,xf,0.9098818526434734
1000,xf,0.4831623368321545
1000,xf,4.951735748038562
1000,xf,0.49494394187143387
1000,xf,6.501831153470606
1000,xf,3.329064387688651
1000,xf,0.12699036567185643
1000,xf,0.4332655438898503
1000,xf,0.7900735509292561
1000,xf,0.11237771790560497
1000,xf,0.514179944028466
1000,xf,0.30555071605226014
1000,xf,0.25573228805978415
1000,xf,2.2320773833787158
1000,xf,0.7490698372058429
1000,xf,0.5841755166271961
1000,xf,1.8801526154727644
1000,xf,1.8945567222542967
1000,xf,0.4369876058142826
1000,xf,1.5247943288521222
1000,xf,2.2006019393406713
1000,xf,1.4139564683283292
1000,xf,1.0000452806837254
1000,xf,2.305998537878251
1000,xf,1.5101593266797346
1000,xf,0.6912986690151317
1000,xf,0.6819430344974491
1000,xf,1.5474551578151445
1000,xf,0.24572688646113044
1000,xf,0.8927613965836079
1000,xf,0.10911909406955879
1000,xf,1.5923841849424756
1000,xf,2.930144898731462
1000,xf,5.7642566834609426
1000,xf,0.8742140788889053
1000,xf,0.7172136335287197
1000,xf,4.539941015725715
1000,xf,0.8350328968625981
1000,xf,1.3031051966135443
1000,xf,3.091957506661511
1000,xf,0.31618022715537375
1000,xf,3.4254934688984062
1000,xf,1.8489559760164327
1000,xf,1.3812123201467736
1000,xf,0.20200169152484604
1000,xf,3.251869656729879
1000,xf,1.3218757440765583
1000,xf,1.7264139577557582
1000,xf,1.6704389267510196
1000,xf,1.695099048703872
1000,xf,1.2902451919086562
1000,xf,2.0454351770349306
1000,xf,1.8034498027950545
1000,xf,3.4263637871352444
1000,xf,1.114080952760351
1000,xf,1.6832094961241473
1000,xf,4.22566303570146
1000,xf,0.06143292040274531
1000,xf,6.326632881846727
1000,xf,1.324416539052261
1000,xf,0.19689965134508658
1000,xf,5.199220556896963
1000,xf,3.334585879239394
1000,xf,0.6901911517069027
1000,xf,2.423792042726979
1000,xf,4.017294482457679
1000,xf,2.461017284511065
1000,xf,1.115449575980821
1000,xf,0.8227587124990083
1000,xf,0.3627062064500821
1000,xf,4.304833735172434
1000,xf,0.2651773645456283
1000,xf,2.2315198611847893
1000,xf,0.18251541773458582
1000,xf,2.155802110503907
1000,xf,1.259620295427736
1000,xf,3.961585549815277
1000,xf,0.9005045494598074
1000,xf,4.445160497793742
1000,xf,0.7494849927395252
1000,xf,7.53492755419124
1000,xf,0.3157423889920843
1000,xf,3.3934772298618894
1000,xf,1.521483877418396
1000,xf,0.6733941423872705
1000,xf,4.023401487371332
1000,xf,3.3611141027410345
1000,xf,2.142551160033217
1000,xf,0.1245855328013157
1000,xf,0.2608413144495715
1000,xf,1.6763245663676543
1000,xf,1.5515956246859492
1000,xf,0.10080086260922282
1000,xf,0.8996896540466186
1000,xf,1.8506279919752315
1000,xf,1.6915224761179257
1000,xf,3.003098679951198
1000,xf,3.0716310466151473
1000,xf,0.4191953747843755
1000,xf,0.9756988262708076
1000,xf,2.499104284629388
1000,xf,1.4290450766692846
1000,xf,1.1172172332334822
1000,xf,2.5504267893091725
1000,xf,3.315903547888175
1000,xf,0.02496171251719358
1000,xf,4.098583146179594
1000,xf,2.340948843839835
1000,xf,0.19625945452293356
1000,xf,2.1440326162763617
1000,xf,0.06750653776740312
1000,xf,1.043663567430499
1000,xf,1.0175163933467355
1000,xf,1.9030065390448536
1000,xf,1.7162055961036822
1000,xf,1.153552068215804
1000,xf,1.5776395647895192
1000,xf,0.337534716037596
1000,xf,0.6897242623231766
1000,xf,0.10465675285868993
1000,xf,0.6622024179705109
1000,xf,2.79153732254384
1000,xf,1.8700865464912944
1000,xf,1.0174372817250523
1000,xf,1.0437356367065596
1000,xf,3.1948828498285664
1000,xf,12.578189851597594
