cell_kind,calib_policy,eval_policy,alpha,delta,perturbation,n_eval,n_oracle,mc_seed,cvar_truth,cvar_est,cvar_ci_lo,cvar_ci_hi,ci_covers_truth,audit_p,audit_reject,audit_p_xf,audit_reject_xf,t_hat,runtime_sec
size_diagnostic,base,base,0.1,0.0,none,2000,500,32,0.24911746000684898,0.2645217681968185,0.23048430463312217,0.30809541400372203,true,0.09849926210334459,false,0.6446953713919743,false,0.38,1.7301650047302246
size_diagnostic,base,base,0.1,0.0,none,2000,500,33,0.24911746000684898,0.22799508212453481,0.19993657872855722,0.2701614003566962,true,0.24533126130744398,false,0.7845181867256378,false,0.38,1.7324700355529785
size_diagnostic,base,base,0.1,0.0,none,2000,500,34,0.24911746000684898,0.2376187654362801,0.1997823679643106,0.2970644304661326,true,3.466795273854295e-6,true,0.07067884463066443,false,0.4318133333333333,1.7527110576629639
size_diagnostic,base,base,0.1,0.0,none,2000,500,35,0.24911746000684898,0.23990870630554614,0.19601717814443334,0.274837880622217,true,0.024661014665920522,true,0.4531451413682298,false,0.37970000000000004,1.7653489112854004
size_diagnostic,base,base,0.1,0.0,none,2000,500,28,0.24911746000684898,0.25556646152709894,0.22032153036542182,0.28819139799557225,true,0.07785357178180186,false,0.6286928823678841,false,0.36533333333333334,1.7979967594146729
size_diagnostic,base,base,0.1,0.0,none,2000,500,29,0.24911746000684898,0.2744112398062988,0.23080798218648554,0.3271640706772168,true,6.012588449344491e-8,true,0.03319988876209279,true,0.4584799999999999,1.7949068546295166
size_diagnostic,base,base,0.1,0.0,none,2000,500,30,0.24911746000684898,0.2413489258247856,0.20213254519787488,0.28660050818035065,true,0.19725144472934764,false,0.8232273882668352,false,0.39,1.7567107677459717
size_diagnostic,base,base,0.1,0.0,none,2000,500,31,0.24911746000684898,0.2427754104732128,0.20608924198243678,0.28565315402119695,true,0.24902182844061316,false,0.6989174072919363,false,0.375,1.7304868698120117
size_diagnostic,base,base,0.1,0.0,none,2000,500,36,0.24911746000684898,0.24111968107699086,0.2050401775434812,0.28729420310878595,true,0.46100928626615867,false,0.7913954197272198,false,0.38,1.7480449676513672
size_diagnostic,base,base,0.1,0.0,none,2000,500,37,0.24911746000684898,0.2681518753656511,0.23345067671332972,0.30483974894540616,true,0.04006374544666047,true,0.49623531275893384,false,0.40449999999999997,1.749340295791626
size_diagnostic,base,base,0.1,0.0,none,2000,500,38,0.24911746000684898,0.22691404181026872,0.1917675898913981,0.2659888088365153,true,0.1333730110300806,false,0.6063155194747033,false,0.3746999999999999,1.8241770267486572
size_diagnostic,base,base,0.1,0.0,none,2000,500,39,0.24911746000684898,0.2323349266284356,0.19100706739939538,0.2755070930976128,true,0.28076116564417675,false,0.8808669528756229,false,0.3496799999999999,1.708845853805542
size_diagnostic,base,base,0.1,0.0,none,2000,500,40,0.24911746000684898,0.2961666746042136,0.26444978189844603,0.3299642974725451,false,0.000011813260667681291,true,0.07610343880688009,false,0.4149999999999999,1.7947683334350586
size_diagnostic,base,base,0.1,0.0,none,2000,500,41,0.24911746000684898,0.28731401508311366,0.2533824903531194,0.3367945207056396,false,0.015786507703192787,true,0.45661833055540435,false,0.42479999999999996,1.655472993850708
size_diagnostic,base,base,0.1,0.0,none,2000,500,42,0.24911746000684898,0.2841564086207425,0.2539112370549107,0.3209719652666108,false,0.01597130469470376,true,0.3289240763042329,false,0.41479999999999995,1.8092248439788818
size_diagnostic,base,base,0.1,0.0,none,2000,500,43,0.24911746000684898,0.2234379810693054,0.18544228195893347,0.2599464599953065,true,0.2393307303061969,false,0.7957842335669161,false,0.355,1.7750139236450195
size_diagnostic,base,base,0.1,0.0,none,2000,500,44,0.24911746000684898,0.24951678083724096,0.21193705026868154,0.28977989895659356,true,0.4068247357385256,false,0.7856303959291899,false,0.39469999999999994,1.7816119194030762
size_diagnostic,base,base,0.1,0.0,none,2000,500,45,0.24911746000684898,0.2648060747290991,0.23321282882194933,0.31691280099609975,true,0.0001908073241455588,true,0.25818710942389766,false,0.39,1.716688871383667
size_diagnostic,base,base,0.1,0.0,none,2000,500,46,0.24911746000684898,0.24497488781969703,0.22088470232137744,0.2847580571649377,true,0.5486446738677252,false,0.8571527887161069,false,0.37,1.8470737934112549
size_diagnostic,base,base,0.1,0.0,none,2000,500,47,0.24911746000684898,0.25686609492653,0.21760453511868108,0.2988395651075572,true,0.005174177362160415,true,0.36521207587287496,false,0.40705000000000024,1.7405250072479248
size_diagnostic,base,base,0.1,0.0,none,2000,500,60,0.24911746000684898,0.2517476408578595,0.21763126028442412,0.2954076021764273,true,0.038255606970433176,true,0.3925158173703399,false,0.40479999999999994,1.6775827407836914
size_diagnostic,base,base,0.1,0.0,none,2000,500,61,0.24911746000684898,0.23572315687973017,0.19835995122477879,0.28515507882627056,true,0.12659858006070968,false,0.6951915799274995,false,0.38970000000000005,1.6328749656677246
