config_id,estimator,variance,ci,policy,n_oracle,rep,v_hat,truth,ci_lo,ci_hi
1,plug_in,if,wald,uniform,50,69,0.5307771931481505,0.5,0.5196986549050083,0.5418557313912927
1,plug_in,if,wald,uniform,50,70,0.5171312842676112,0.5,0.5070727653596134,0.527189803175609
1,plug_in,if,wald,uniform,50,71,0.4856148971918751,0.5,0.4751861746325243,0.4960436197512259
1,plug_in,if,wald,uniform,50,56,0.4987554969670996,0.5,0.4869741961044658,0.5105367978297334
1,plug_in,if,wald,uniform,50,57,0.5121813637906504,0.5,0.5011936820717809,0.5231690455095198
1,plug_in,if,wald,uniform,50,58,0.5130069209637101,0.5,0.5028327847750367,0.5231810571523836
1,plug_in,if,wald,uniform,50,59,0.5250255762150307,0.5,0.51298365438708,0.5370674980429813
1,plug_in,if,wald,uniform,50,72,0.4963633060832358,0.5,0.48641679206686134,0.5063098200996103
1,plug_in,if,wald,uniform,50,73,0.5513224431700675,0.5,0.5399329581739115,0.5627119281662235
1,plug_in,if,wald,uniform,50,74,0.48703475825941867,0.5,0.4763980349763774,0.49767148154245994
1,plug_in,if,wald,uniform,50,75,0.5430326695160407,0.5,0.5322351491119327,0.5538301899201487
1,plug_in,if,wald,uniform,50,76,0.48271409080020167,0.5,0.47111808051394005,0.4943101010864633
1,plug_in,if,wald,uniform,50,77,0.5077151842875458,0.5,0.4955245930017386,0.5199057755733529
1,plug_in,if,wald,uniform,50,78,0.48992977009382616,0.5,0.4785261128470499,0.5013334273406025
1,plug_in,if,wald,uniform,50,79,0.5401629542348214,0.5,0.5289391298607953,0.5513867786088475
1,plug_in,if,wald,uniform,50,88,0.5286966727840305,0.5,0.5179724311858556,0.5394209143822055
1,plug_in,if,wald,uniform,50,89,0.48975872529015696,0.5,0.47933782986655665,0.5001796207137572
1,plug_in,if,wald,uniform,50,90,0.5168095455397294,0.5,0.5052207902806618,0.5283983007987969
1,plug_in,if,wald,uniform,50,91,0.5176114058890079,0.5,0.5063596770846723,0.5288631346933435
1,plug_in,if,wald,uniform,50,84,0.4774797972384864,0.5,0.4667422855072325,0.48821730896974025
1,plug_in,if,wald,uniform,50,85,0.4752353732932025,0.5,0.463095768129417,0.48737497845698796
1,plug_in,if,wald,uniform,50,86,0.45103449166652587,0.5,0.4406295330672905,0.4614394502657612
1,plug_in,if,wald,uniform,50,87,0.4809895767888394,0.5,0.4709336551751498,0.49104549840252903
1,plug_in,if,wald,uniform,50,80,0.49414552632756525,0.5,0.4827113993172431,0.5055796533378875
1,plug_in,if,wald,uniform,50,81,0.4720499104708813,0.5,0.46005717889886405,0.48404264204289854
1,plug_in,if,wald,uniform,50,82,0.4841442908962898,0.5,0.47116131138868134,0.49712727040389826
1,plug_in,if,wald,uniform,50,83,0.4828601506446144,0.5,0.4716150676386505,0.4941052336505783
1,plug_in,if,wald,uniform,50,92,0.4604138174240088,0.5,0.44882434732996335,0.4720032875180542
1,plug_in,if,wald,uniform,50,93,0.5306743006688442,0.5,0.5185638893214818,0.5427847120162067
1,plug_in,if,wald,uniform,50,94,0.48321863518073827,0.5,0.47189520212356023,0.4945420682379163
1,plug_in,if,wald,uniform,50,95,0.502242675838548,0.5,0.4906410401745745,0.5138443115025214
1,plug_in,if,wald,uniform,50,104,0.5377331107933266,0.5,0.5271003414720088,0.5483658801146445
1,plug_in,if,wald,uniform,50,105,0.5177374562596996,0.5,0.5073018297362171,0.5281730827831821
1,plug_in,if,wald,uniform,50,106,0.5052388526358264,0.5,0.49573848307703233,0.5147392221946204
1,plug_in,if,wald,uniform,50,107,0.5130411135330926,0.5,0.5002766210507242,0.5258056060154609
1,plug_in,if,wald,uniform,50,100,0.49879187338908276,0.5,0.48809003692955616,0.5094937098486094
1,plug_in,if,wald,uniform,50,101,0.44890214780261206,0.5,0.43749703776086224,0.4603072578443619
1,plug_in,if,wald,uniform,50,102,0.49679991832191034,0.5,0.48518221685853036,0.5084176197852903
1,plug_in,if,wald,uniform,50,103,0.5069094599460988,0.5,0.4953689662217616,0.5184499536704361
1,plug_in,if,wald,uniform,50,96,0.546604107204564,0.5,0.5354921743940858,0.5577160400150422
1,plug_in,if,wald,uniform,50,97,0.5147454292266339,0.5,0.5040792780070167,0.5254115804462511
1,plug_in,if,wald,uniform,50,98,0.5023379366328916,0.5,0.4918518680939151,0.5128240051718681
1,plug_in,if,wald,uniform,50,99,0.4856422963457645,0.5,0.47512254594868786,0.49616204674284115
1,plug_in,if,wald,uniform,50,116,0.5646646490971751,0.5,0.5554171065624539,0.5739121916318962
1,plug_in,if,wald,uniform,50,117,0.45480106791344177,0.5,0.4432994202704112,0.46630271555647235
