n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,270,uniform,10,boot_remax_no_ridge,0.5363296447697399,0.7647817175675087,PASS
1500,270,uniform,10,boot_fixed,0.3737494083798908,0.8295476687212562,PASS
1500,231,uniform,11,analytical,0.7899500435659453,0.673696866785255,PASS
1500,231,uniform,11,boot_remax_ridge,0.003304945632507325,0.9983488917652025,PASS
1500,231,uniform,11,boot_remax_no_ridge,1.1323328229344662,0.5676975914460187,PASS
1500,231,uniform,11,boot_fixed,0.8158878305869641,0.6650161750135244,PASS
1500,259,uniform,12,analytical,3.241164380777043,0.197783517895051,PASS
1500,259,uniform,12,boot_remax_ridge,0.12602751581421132,0.938930555880906,PASS
1500,259,uniform,12,boot_remax_no_ridge,4.7728275581986415,0.09195887809372505,PASS
1500,259,uniform,12,boot_fixed,3.098264208802928,0.21243226286928207,PASS
1500,245,uniform,13,analytical,1.1482241251855012,0.5632047374023805,PASS
1500,245,uniform,13,boot_remax_ridge,0.1105458946869721,0.9462268426001846,PASS
1500,245,uniform,13,boot_remax_no_ridge,1.2019051474341882,0.5482891014697348,PASS
1500,245,uniform,13,boot_fixed,1.1138608106657202,0.5729651379840567,PASS
1500,241,uniform,14,analytical,0.7994308034969456,0.6705108450979567,PASS
1500,241,uniform,14,boot_remax_ridge,0.01691360686887823,0.9915788547388726,PASS
1500,241,uniform,14,boot_remax_no_ridge,0.575936995664132,0.749785211726661,PASS
1500,241,uniform,14,boot_fixed,0.8611633529058101,0.6501308189282424,PASS
1500,245,uniform,15,analytical,0.9209066455443107,0.6309975351098073,PASS
1500,245,uniform,15,boot_remax_ridge,0.04697767436158833,0.9767848782809855,PASS
1500,245,uniform,15,boot_remax_no_ridge,1.2617762187050447,0.5321190112229366,PASS
1500,245,uniform,15,boot_fixed,1.0085236831596776,0.6039512226080306,PASS
1500,249,uniform,16,analytical,1.5565080925535935,0.4592070660861979,PASS
1500,249,uniform,16,boot_remax_ridge,0.000305706778855816,0.9998471582920563,PASS
1500,249,uniform,16,boot_remax_no_ridge,1.3942027578261784,0.49802680459745474,PASS
1500,249,uniform,16,boot_fixed,1.5659036354628135,0.4570548754473235,PASS
1500,252,uniform,17,analytical,2.9375337656694067,0.23020918513093336,PASS
