policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,2,0.1,boot_fixed,506,94,1000,0.05263769044026483,0.49789475709279013,0.1,0.05000000000000001,0.5,0.0026376904402648227,0.0,0.08749922576731563,0.9571935964149304,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.5,analytical,506,94,1000,0.04044334402715193,0.44817487742801804,0.06666666666666667,0.05000000000000001,0.5,0.009556655972848077,0.0,8.057185230668358,0.017799362884430958,-0.036170212765957444,0.00011856419030264984,REFUSE-LEVEL
uniform,0.1,2,0.5,boot_remax_ridge,506,94,1000,0.04044334402715193,0.44817487742801804,0.06666666666666667,0.05000000000000001,0.5,0.009556655972848077,0.0,0.11454542755410514,0.9443365006729469,-0.036170212765957444,0.00011856419030264984,PASS
uniform,0.1,2,0.5,boot_remax_no_ridge,506,94,1000,0.04044334402715193,0.44817487742801804,0.06666666666666667,0.05000000000000001,0.5,0.009556655972848077,0.0,5.048475795822874,0.080119348648927,-0.036170212765957444,0.00011856419030264984,PASS
uniform,0.1,2,0.5,boot_fixed,506,94,1000,0.04044334402715193,0.44817487742801804,0.06666666666666667,0.05000000000000001,0.5,0.009556655972848077,0.0,9.538436359177659,0.008487012886719492,-0.036170212765957444,0.00011856419030264984,REFUSE-LEVEL
uniform,0.1,2,0.3,analytical,506,94,1000,0.04327720621488376,0.4720888983031174,0.08333333333333333,0.05000000000000001,0.5,0.0067227937851162475,0.0,0.8550326412898349,0.6521267587800161,-0.014893617021276595,0.00008029381413279274,PASS
uniform,0.1,2,0.3,boot_remax_ridge,506,94,1000,0.04327720621488376,0.4720888983031174,0.08333333333333333,0.05000000000000001,0.5,0.0067227937851162475,0.0,0.019421860240617442,0.9903360687044571,-0.014893617021276595,0.00008029381413279274,PASS
uniform,0.1,2,0.3,boot_remax_no_ridge,506,94,1000,0.04327720621488376,0.4720888983031174,0.08333333333333333,0.05000000000000001,0.5,0.0067227937851162475,0.0,0.9056189605293246,0.6358392620152901,-0.014893617021276595,0.00008029381413279274,PASS
uniform,0.1,2,0.3,boot_fixed,506,94,1000,0.04327720621488376,0.4720888983031174,0.08333333333333333,0.05000000000000001,0.5,0.0067227937851162475,0.0,0.9066000449054452,0.6355274325214606,-0.014893617021276595,0.00008029381413279274,PASS
uniform,0.1,2,1.0,analytical,506,94,1000,0.035539430385430004,0.3972140108920562,0.06666666666666667,0.05000000000000001,0.5,0.014460569614570006,0.0,8.057185230668358,0.017799362884430958,-0.036170212765957444,0.00011856419030264984,REFUSE-LEVEL
uniform,0.1,2,1.0,boot_remax_ridge,506,94,1000,0.035539430385430004,0.3972140108920562,0.06666666666666667,0.05000000000000001,0.5,0.014460569614570006,0.0,0.11454542755410514,0.9443365006729469,-0.036170212765957444,0.00011856419030264984,PASS
uniform,0.1,2,1.0,boot_remax_no_ridge,506,94,1000,0.035539430385430004,0.3972140108920562,0.06666666666666667,0.05000000000000001,0.5,0.014460569614570006,0.0,5.048475795822874,0.080119348648927,-0.036170212765957444,0.00011856419030264984,PASS
uniform,0.1,2,1.0,boot_fixed,506,94,1000,0.035539430385430004,0.3972140108920562,0.06666666666666667,0.05000000000000001,0.5,0.014460569614570006,0.0,9.538436359177659,0.008487012886719492,-0.036170212765957444,0.00011856419030264984,REFUSE-LEVEL
uniform,0.1,3,0.0,analytical,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,5.124552719196377,0.07712896719287099,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_remax_ridge,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,0.05801475680839288,0.9714092969897292,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_remax_no_ridge,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,1.532449425675037,0.4647643793750841,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.0,boot_fixed,494,106,1000,0.05062493665052715,0.4940323575538463,0.08333333333333333,0.05000000000000001,0.5,0.0006249366505271386,0.0,5.032473103824217,0.08076298281466943,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.1,analytical,494,106,1000,0.045815682366533245,0.46719641278424806,0.08333333333333333,0.05000000000000001,0.5,0.004184317633466765,0.0,5.124552719196377,0.07712896719287099,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.1,boot_remax_ridge,494,106,1000,0.045815682366533245,0.46719641278424806,0.08333333333333333,0.05000000000000001,0.5,0.004184317633466765,0.0,0.05801475680839288,0.9714092969897292,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.1,boot_remax_no_ridge,494,106,1000,0.045815682366533245,0.46719641278424806,0.08333333333333333,0.05000000000000001,0.5,0.004184317633466765,0.0,1.532449425675037,0.4647643793750841,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.1,boot_fixed,494,106,1000,0.045815682366533245,0.46719641278424806,0.08333333333333333,0.05000000000000001,0.5,0.004184317633466765,0.0,5.032473103824217,0.08076298281466943,-0.024528301886792454,0.0005462325772174869,PASS
uniform,0.1,3,0.3,analytical,494,106,1000,0.04288553099570164,0.43929810070074027,0.06666666666666667,0.05000000000000001,0.5,0.007114469004298372,0.0,10.751759513092052,0.004626846444037658,-0.033962264150943396,0.000582720716356649,REFUSE-LEVEL
uniform,0.1,3,0.3,boot_remax_ridge,494,106,1000,0.04288553099570164,0.43929810070074027,0.06666666666666667,0.05000000000000001,0.5,0.007114469004298372,0.0,0.1111961144970098,0.9459192648822511,-0.033962264150943396,0.000582720716356649,PASS
uniform,0.1,3,0.3,boot_remax_no_ridge,494,106,1000,0.04288553099570164,0.43929810070074027,0.06666666666666667,0.05000000000000001,0.5,0.007114469004298372,0.0,2.5850407297556544,0.2745778738350293,-0.033962264150943396,0.000582720716356649,PASS
uniform,0.1,3,0.3,boot_fixed,494,106,1000,0.04288553099570164,0.43929810070074027,0.06666666666666667,0.05000000000000001,0.5,0.007114469004298372,0.0,10.50718394645702,0.005228703265533374,-0.033962264150943396,0.000582720716356649,REFUSE-LEVEL
uniform,0.1,3,0.5,analytical,494,106,1000,0.03840437179012121,0.41753807607164745,0.06666666666666667,0.05000000000000001,0.5,0.011595628209878799,0.0,10.751759513092052,0.004626846444037658,-0.033962264150943396,0.000582720716356649,REFUSE-LEVEL
uniform,0.1,3,0.5,boot_remax_ridge,494,106,1000,0.03840437179012121,0.41753807607164745,0.06666666666666667,0.05000000000000001,0.5,0.011595628209878799,0.0,0.1111961144970098,0.9459192648822511,-0.033962264150943396,0.000582720716356649,PASS
