policy,seed,oracle_coverage,n_oracle,n_eval,alpha,mean,mean_se,mean_ci_lo,mean_ci_hi,oracle_truth,cvar,cvar_ci_lo,cvar_ci_hi,cvar_t_hat,cvar_empirical_truth,audit_p_value,audit_reject,n_bootstrap_failures
premium,3,0.25,1247,5000,0.2,0.7624824046332431,0.003916345459706814,0.7516088864513766,0.7733559228151097,0.76226,0.37409539206347164,0.34875848380014035,0.40301451507889774,0.598,0.39660808435852374,0.9062570396173925,false,0
parallel_universe_prompt,3,0.25,1247,5000,0.01,0.7697680113960695,0.003650157208105953,0.7596335502824213,0.7799024725097178,0.770834,0.07308714235685285,0.04980562817302192,0.09624343263821208,0.09001466666666669,0.07903846153846153,0.3140436624376629,false,0
parallel_universe_prompt,3,0.25,1247,5000,0.05,0.7697680113960695,0.003650157208105953,0.7596335502824213,0.7799024725097178,0.770834,0.17280991189871747,0.14890881528011382,0.20495218735909118,0.26049999999999995,0.17513944223107572,0.9659108812225953,false,0
parallel_universe_prompt,3,0.25,1247,5000,0.1,0.7697680113960695,0.003650157208105953,0.7596335502824213,0.7799024725097178,0.770834,0.2535480892183118,0.2306560960523856,0.283313956071966,0.39499999999999996,0.26734463276836157,0.5767096022957499,false,0
parallel_universe_prompt,3,0.25,1247,5000,0.2,0.7697680113960695,0.003650157208105953,0.7596335502824213,0.7799024725097178,0.770834,0.37751317359723247,0.3516348844873884,0.4079409581907524,0.598,0.4058043875685558,0.798601525103376,false,0
unhelpful,3,0.25,1247,5000,0.01,0.4494241477940417,0.053161215858201764,0.30182495023817413,0.5970233453499093,0.142636,-0.014855835438596365,-0.023203450000000004,0.07501110170893972,0.004752666666666627,0.0,0.1085790080948903,false,0
unhelpful,3,0.25,1247,5000,0.05,0.4494241477940417,0.053161215858201764,0.30182495023817413,0.5970233453499093,0.142636,0.006148614035087721,-0.010827075000000005,0.08018076470588234,0.03516666666666668,0.0,7.105427357601002e-15,true,0
unhelpful,3,0.25,1247,5000,0.1,0.4494241477940417,0.053161215858201764,0.30182495023817413,0.5970233453499093,0.142636,0.03265237517855182,-0.0048213155362318814,0.10079919911780537,0.069,0.0,4.5089680222876183e-7,true,0
unhelpful,3,0.25,1247,5000,0.2,0.4494241477940417,0.053161215858201764,0.30182495023817413,0.5970233453499093,0.142636,0.06353480029631942,0.010949663978852556,0.14384941847677177,0.09766666666666668,0.0,0.0,true,0
clone,4,0.25,1247,5000,0.01,0.7616248714378124,0.0023548153566854257,0.7550868558670986,0.7681628870085263,0.7619779999999999,0.07084122304172062,0.0464484403787529,0.0986625231987823,0.10933333333333328,0.072,0.9466355610232619,false,0
clone,4,0.25,1247,5000,0.05,0.7616248714378124,0.0023548153566854257,0.7550868558670986,0.7681628870085263,0.7619779999999999,0.18765874533106322,0.16079097909003315,0.21754757113143025,0.2886666666666666,0.16924603174603173,0.5217010441964531,false,0
clone,4,0.25,1247,5000,0.1,0.7616248714378124,0.0023548153566854257,0.7550868558670986,0.7681628870085263,0.7619779999999999,0.26688858357529055,0.24450920861581774,0.28967726409678807,0.38,0.2689667250437829,0.1491209242404018,false,0
clone,4,0.25,1247,5000,0.2,0.7616248714378124,0.0023548153566854257,0.7550868558670986,0.7681628870085263,0.7619779999999999,0.3708188617978451,0.3462732756135578,0.3956333856066452,0.5775,0.3763565891472868,0.7513496593169497,false,0
premium,4,0.25,1247,5000,0.01,0.7657798956360055,0.002744438772064024,0.7581601120407933,0.7733996792312177,0.76226,0.07151980287688886,0.049398887954069506,0.1010146230246932,0.10933333333333328,0.09015151515151514,0.8831764791601975,false,0
premium,4,0.25,1247,5000,0.05,0.7657798956360055,0.002744438772064024,0.7581601120407933,0.7733996792312177,0.76226,0.18941657865788375,0.15743824256852076,0.21698382423565743,0.2886666666666666,0.18,0.8019567507087747,false,0
premium,4,0.25,1247,5000,0.1,0.7657798956360055,0.002744438772064024,0.7581601120407933,0.7733996792312177,0.76226,0.268755170486216,0.2433847841545114,0.2898431991457214,0.38,0.2567366412213741,0.3492123696310784,false,0
premium,4,0.25,1247,5000,0.2,0.7657798956360055,0.002744438772064024,0.7581601120407933,0.7733996792312177,0.76226,0.3739638327723638,0.3459633769747065,0.40030162872724173,0.5775,0.39660808435852374,0.4418106403950314,false,0
parallel_universe_prompt,4,0.25,1247,5000,0.01,0.7744190562151092,0.0025556216984227945,0.767323512859786,0.7815145995704325,0.770834,0.07066570324233379,0.04595411960958288,0.09942338991482749,0.10933333333333328,0.07903846153846153,0.8468417014759042,false,0
parallel_universe_prompt,4,0.25,1247,5000,0.05,0.7744190562151092,0.0025556216984227945,0.767323512859786,0.7815145995704325,0.770834,0.18999347845085202,0.16356600328411783,0.21983208002239832,0.2886666666666666,0.17513944223107572,0.6835128502966992,false,0
parallel_universe_prompt,4,0.25,1247,5000,0.1,0.7744190562151092,0.0025556216984227945,0.767323512859786,0.7815145995704325,0.770834,0.2710747838467755,0.2487411767289673,0.297441561092933,0.40766666666666673,0.26734463276836157,0.5835172614994083,false,0
parallel_universe_prompt,4,0.25,1247,5000,0.2,0.7744190562151092,0.0025556216984227945,0.767323512859786,0.7815145995704325,0.770834,0.37983541418202815,0.35454932917360343,0.406243031134463,0.5775,0.4058043875685558,0.34207384919437367,false,0
unhelpful,4,0.25,1247,5000,0.01,0.41838464548251014,0.026660543233919053,0.34436311071878145,0.49240618024623883,0.142636,0.020797948717948704,0.007794990715536768,0.054725409207338364,0.023333333333333317,0.0,0.0011165804032445825,true,0
unhelpful,4,0.25,1247,5000,0.05,0.41838464548251014,0.026660543233919053,0.34436311071878145,0.49240618024623883,0.142636,0.02890405163986921,0.014091858050526608,0.06760153372199434,0.03516666666666668,0.0,0.00004869647786520659,true,0
unhelpful,4,0.25,1247,5000,0.1,0.41838464548251014,0.026660543233919053,0.34436311071878145,0.49240618024623883,0.142636,0.03738219637981598,0.020112434231734273,0.0866534886780782,0.04800000000000004,0.0,5.964784222101116e-12,true,0
unhelpful,4,0.25,1247,5000,0.2,0.41838464548251014,0.026660543233919053,0.34436311071878145,0.49240618024623883,0.142636,0.058554262191253814,0.02958338104525905,0.11989586329059042,0.10050000000000003,0.0,0.0,true,0
clone,5,0.25,1247,5000,0.01,0.7654835451766818,0.0022386756754009408,0.7592679850555896,0.7716991052977741,0.7619779999999999,0.059495062303608195,0.04059002491446183,0.08370127263349454,0.08433333333333337,0.072,0.47319863982205124,false,0
clone,5,0.25,1247,5000,0.05,0.7654835451766818,0.0022386756754009408,0.7592679850555896,0.7716991052977741,0.7619779999999999,0.16412741701389869,0.14087720816588525,0.19255912711512022,0.25906000000000007,0.16924603174603173,0.9376018996891751,false,0
clone,5,0.25,1247,5000,0.1,0.7654835451766818,0.0022386756754009408,0.7592679850555896,0.7716991052977741,0.7619779999999999,0.2443986072934713,0.21669754091922494,0.2700674843365643,0.3988,0.2689667250437829,0.9092883844254137,false,0
clone,5,0.25,1247,5000,0.2,0.7654835451766818,0.0022386756754009408,0.7592679850555896,0.7716991052977741,0.7619779999999999,0.36821743550031094,0.34128670250513704,0.3979875100324054,0.5987200000000001,0.3763565891472868,0.910962717243698,false,0
premium,5,0.25,1247,5000,0.01,0.7680729407965377,0.0023249655007304528,0.7616178017122809,0.7745280798807944,0.76226,0.060403422544876656,0.041778890523690604,0.08503160319759898,0.08433333333333337,0.09015151515151514,0.11785832758841686,false,0
