policy,n_eval,alpha,seed,cvar_est,t_hat,ci_lo,ci_hi,n_boot_fail,runtime_sec
clone,100000,0.05,0,0.17172539112661508,0.2886666666666666,0.1434659241090039,0.1994320188073585,0,40.13491201400757
clone,100000,0.05,1,0.17975878185641475,0.26049999999999995,0.1609862294362984,0.20311041203224814,0,42.60460901260376
clone,100000,0.05,2,0.147490182677671,0.25849999999999995,0.12246072525599501,0.17944226860187282,0,41.04399609565735
clone,100000,0.05,3,0.17936177117629137,0.26049999999999995,0.1557497341022392,0.2017542494036975,0,41.31955575942993
clone,100000,0.05,4,0.16983432814427146,0.26274999999999993,0.14680805847406303,0.1983270971050197,0,41.41235113143921
clone,100000,0.05,5,0.180792899613605,0.29333333333333333,0.15514022019494578,0.2081361890214772,0,41.371503829956055
clone,100000,0.05,6,0.17337378386972896,0.2886666666666666,0.15246930250617854,0.1977752673674483,0,42.50111985206604
clone,100000,0.05,7,0.18312340317081643,0.26049999999999995,0.1662046633771325,0.20098894000519502,0,42.574827671051025
clone,100000,0.05,8,0.1747852100486643,0.28400000000000003,0.15158300464496466,0.20546572668259527,0,44.26884388923645
clone,100000,0.05,10,0.19487475304338125,0.28400000000000003,0.17687204821436905,0.2225870567613698,0,42.361271142959595
clone,100000,0.05,9,0.1716475486789969,0.26049999999999995,0.14833581830418954,0.19709648235918814,0,44.356475830078125
clone,100000,0.05,11,0.17645243748235673,0.26588999999999996,0.15279189334099408,0.2009855854838648,0,43.50590491294861
clone,100000,0.05,13,0.16304789849016943,0.2886666666666666,0.14038248438693102,0.1916849603925317,0,42.73050117492676
clone,100000,0.05,12,0.17916750416640115,0.2695000000000001,0.15799229761339573,0.20303570387958306,0,43.821162939071655
clone,100000,0.05,15,0.16103420289806591,0.23233333333333328,0.14379467862873704,0.18540097840422515,0,43.381468057632446
clone,100000,0.05,14,0.19772270267423467,0.29333333333333333,0.17569762913738915,0.22703785176336524,0,43.72600698471069
clone,100000,0.05,16,0.18062423364417804,0.2703899999999999,0.16081837576050576,0.20606492452739664,0,45.08589792251587
clone,100000,0.05,17,0.18352152086058363,0.29333333333333333,0.16130062252754784,0.2154649659392383,0,44.314281940460205
clone,100000,0.05,18,0.17648971075543574,0.27488999999999997,0.15976214618372273,0.2049154918178626,0,46.582310914993286
clone,100000,0.05,19,0.1682778812255713,0.2465533333333334,0.15111791868084512,0.19845510592838647,0,47.261420011520386
clone,500000,0.005,0,0.05558599409471275,0.08066666666666666,0.03165279723868592,0.07634974867933757,0,313.8078119754791
clone,500000,0.005,2,0.039892533198261554,0.049236999999999975,0.01646566012349839,0.058879597114194215,0,316.07921624183655
clone,500000,0.005,3,0.06669559286322967,0.08066666666666666,0.05496052036657151,0.0890398676835199,0,317.5970139503479
clone,500000,0.005,1,0.06451531281029335,0.08066666666666666,0.04989210757896169,0.08980980883445917,0,322.95859932899475
clone,500000,0.005,4,0.07016839684366702,0.0853976666666666,0.05363496149211703,0.08848028579108602,0,316.82691192626953
clone,500000,0.005,5,0.06454701767991966,0.08066666666666666,0.04998701645312783,0.0810746917819299,0,319.5222988128662
clone,500000,0.005,6,0.052789487336647595,0.07115400000000005,0.04185580333345492,0.07989057233512128,0,322.1210570335388
clone,500000,0.005,7,0.06508720210138862,0.08066666666666666,0.04749631825746947,0.08859041460659044,0,320.9329149723053
clone,500000,0.005,10,0.0695950079147031,0.10166666666666657,0.05001301591668621,0.08720154435061578,0,313.9287750720978
clone,500000,0.005,8,0.06133179324119855,0.07700000000000007,0.04421196971755455,0.08392247558805507,0,324.9074628353119
clone,500000,0.005,9,0.047776298105792245,0.06799999999999995,0.03554327198876871,0.07085115968383253,0,322.1139249801636
clone,500000,0.005,11,0.06950688317301819,0.08382066666666677,0.05360005971250744,0.08964456489755293,0,321.2267346382141
clone,500000,0.005,13,0.06329431360560517,0.08066666666666666,0.050034160992594605,0.08266702181677928,0,321.39988899230957
clone,500000,0.005,12,0.07571069553665605,0.09273100000000001,0.06201323264094522,0.0886710964837173,0,327.9142818450928
clone,500000,0.005,14,0.044850818006017826,0.08617750000000002,0.021237919213125532,0.08629425286639418,0,322.94914078712463
clone,500000,0.005,15,0.06357246087783862,0.08066666666666666,0.04033684697131102,0.08601491423735357,0,326.7337760925293
clone,500000,0.005,16,0.06758367418357837,0.08433333333333337,0.052359665780501226,0.08841972758660768,0,317.03667974472046
clone,500000,0.005,17,0.06500432293674896,0.08066666666666666,0.0452968629851745,0.08439033609328135,0,317.72849798202515
clone,500000,0.005,18,0.05661696797152335,0.08541500000000035,0.024307116226452104,0.08371687757342908,0,322.1148929595947
clone,500000,0.005,19,0.06674062475814956,0.08748733333333325,0.05354358481178002,0.08814682507006011,0,322.300656080246
clone,500000,0.01,0,0.0681263303806897,0.08066666666666666,0.05535269804616054,0.08948861150036724,0,313.1205189228058
clone,500000,0.01,2,0.0505910224239821,0.08799999999999997,0.03667028625029007,0.0747162623642899,0,313.6186201572418
clone,500000,0.01,1,0.08339416316011701,0.10933333333333328,0.06518862686550309,0.1076404432419527,0,323.687597990036
clone,500000,0.01,3,0.08248135242577628,0.11854633333333342,0.07338431396035998,0.10018165672967994,0,315.52973222732544
clone,500000,0.01,4,0.08488068491280384,0.09966666666666668,0.06866789071025355,0.09928904176023048,0,316.61256408691406
clone,500000,0.01,5,0.07665601380824849,0.11316666666666675,0.0647345591195363,0.09655243632001403,0,319.7448921203613
clone,500000,0.01,6,0.07110128666860255,0.10933333333333328,0.0597025324937137,0.09142115081873403,0,323.1610312461853
clone,500000,0.01,7,0.08495020672256856,0.11547533333333326,0.07001101237626284,0.11253572873572938,0,322.12943410873413
clone,500000,0.01,8,0.0764525941127056,0.10933333333333328,0.06405153198663276,0.09709896925860499,0,323.96827006340027
clone,500000,0.01,10,0.08703590169952019,0.1361600000000004,0.07501164479586749,0.11067244292390843,0,314.05025720596313
clone,500000,0.01,9,0.06988671691380033,0.09699999999999998,0.05629889494513933,0.08635916482578167,0,325.04690408706665
clone,500000,0.01,11,0.08411976260212067,0.09648733333333337,0.06971241218424816,0.102766172257179,0,321.8329589366913
clone,500000,0.01,12,0.08748322889185114,0.10699999999999998,0.07497857424028602,0.10257015990990709,0,681.2549750804901
clone,500000,0.01,13,0.0767448717909343,0.10933333333333328,0.06789863059829744,0.09150455889244473,0,676.005692243576
clone,500000,0.01,14,0.07301752879113031,0.138,0.05233794683907042,0.11441880493448346,0,677.0098071098328
clone,500000,0.01,15,0.074986172811106,0.08697466666666664,0.06158494408717674,0.09397574361788696,0,678.6457810401917
clone,500000,0.01,17,0.07625991791703682,0.11930866666666673,0.063287552206911,0.10541411642992769,0,671.8506808280945
clone,500000,0.01,16,0.08213613384744192,0.12237966666666655,0.0686129317095074,0.11023741867300776,0,676.1762309074402
clone,500000,0.01,18,0.07632201647184815,0.09746200000000005,0.05540808699771115,0.09553611373618852,0,679.3261649608612
clone,500000,0.01,19,0.08200223502854623,0.10066666666666668,0.06950672071982314,0.10400036013451149,0,679.8296818733215
clone,500000,0.05,0,0.17121480203945186,0.2886666666666666,0.14801897505576586,0.20220672427742428,0,311.91743636131287
clone,500000,0.05,1,0.1795674846849436,0.26049999999999995,0.1592531527529568,0.2027905182062002,0,324.142783164978
clone,500000,0.05,2,0.14539684559519972,0.25849999999999995,0.11984421926483403,0.1743994084051387,0,313.739342212677
clone,500000,0.05,3,0.17997575650339098,0.26049999999999995,0.15927351693507485,0.20423424103839752,0,315.4705250263214
clone,500000,0.05,4,0.170742560251652,0.26274999999999993,0.14713303156882965,0.19936549973468232,0,315.20219016075134
clone,500000,0.05,5,0.18073965256133562,0.29333333333333333,0.15998347836251764,0.20683126610078328,0,318.749794960022
clone,500000,0.05,6,0.17268588334122212,0.2886666666666666,0.14708075883001556,0.20109511760386092,0,319.5155599117279
clone,500000,0.05,7,0.18310354080613434,0.26049999999999995,0.16478717900446133,0.20550080403712206,0,321.92026114463806
clone,500000,0.05,8,0.17531252388469382,0.28400000000000003,0.15282414667631594,0.2026415364966851,0,336.26042580604553
clone,500000,0.05,10,0.1943873843252007,0.28400000000000003,0.174062249165546,0.21975351479272037,0,327.98736476898193
clone,500000,0.05,9,0.17149354949505335,0.26049999999999995,0.14799000698020515,0.2018470849358817,0,338.8926000595093
clone,500000,0.05,11,0.1765132518937832,0.26588999999999996,0.15072208536416618,0.20286172279029263,0,334.1050720214844
clone,500000,0.05,13,0.1638404563315885,0.2886666666666666,0.13859086434745585,0.19318619928505046,0,331.9998781681061
clone,500000,0.05,12,0.1785176922374591,0.2695000000000001,0.15654644944782692,0.20256526656307067,0,341.08364701271057
premium,5000,0.005,0,0.04261419178812836,0.08617750000000002,0.008905009670706258,0.084703309668286,0,5.338753938674927
premium,5000,0.005,1,0.04362466979313845,0.06799999999999995,0.027780524146384915,0.06836682414108128,0,5.191637754440308
premium,5000,0.005,2,0.06441622594884408,0.08066666666666666,0.03460440708324519,0.08995932052461217,0,5.213679790496826
premium,5000,0.005,3,0.037728338213284085,0.10007100000000002,0.013461618444578017,0.0845430358854693,0,5.284005165100098
clone,500000,0.05,14,0.19742123363476688,0.29333333333333333,0.17467050151923974,0.22361955184524093,0,334.78528785705566
